Residual,Connection,Atom,Shift
B-D-GLCPNAC, ,H1,4.64
B-D-GLCPNAC, ,H2,3.75
B-D-GLCPNAC, ,H3,3.98
B-D-GLCPNAC, ,H4,3.51
B-D-GLCPNAC, ,H5,3.49
B-D-GLCPNAC, ,H61,3.77
B-D-GLCPNAC, ,H62,3.92
B-D-GLCPNAC, ,CH3,2.05
A-L-FUCP,2,H1,5.21
A-L-FUCP,2,H2,3.8
A-L-FUCP,2,H3,3.71
A-L-FUCP,2,H4,3.78
A-L-FUCP,2,H5,4.3
A-L-FUCP,2,H6,1.2
B-D-GALP,3,H1,4.64
B-D-GALP,3,H2,3.62
B-D-GALP,3,H3,3.84
B-D-GALP,3,H4,3.92
B-D-GALP,3,H5,3.68
B-D-GALP,3,H61,3.9
B-D-GALP,3,H62,3.82
B-D-GLCPNAC, ,C1,96.49
B-D-GLCPNAC, ,C2,56.95
B-D-GLCPNAC, ,C3,78.76
B-D-GLCPNAC, ,C4,69.67
B-D-GLCPNAC, ,C5,76.46
B-D-GLCPNAC, ,C6,62.14
B-D-GLCPNAC, ,CH3,23.19
B-D-GLCPNAC, ,CO,175.54
A-L-FUCP,2,C1,100.28
A-L-FUCP,2,C2,69.09
A-L-FUCP,2,C3,70.48
A-L-FUCP,2,C4,72.76
A-L-FUCP,2,C5,67.29
A-L-FUCP,2,C6,16.12
B-D-GALP,3,C1,101.11
B-D-GALP,3,C2,77.44
B-D-GALP,3,C3,74.51
B-D-GALP,3,C4,70.03
B-D-GALP,3,C5,75.68
B-D-GALP,3,C6,61.76
