DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-2DManpa1-6(DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-2DManpa1-3)DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OME / aNeu5Acxi (2→3) β-d-Galx (1→3) β-d-GlcNAcix (1→2) α-d-Manviii (1→3) [aNeu5Acvii (2→3) β-d-Galvi (1→3) β-d-GlcNAcv (1→2) α-d-Maniv (1→6) ]β-d-Maniii (1→4) β-d-GlcNAcii (1→4) β-d-GlcNAcOMei,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,2,3,3,4,5,6,6,7,8,9,9,Me_2,CO_2,Me_1,CO_5,Me_5
→4) β-d-GlcNAcOMei,102.65,55.78,73.47,,80.61,75.42,61.17,,,,,,23.02,175.34,57.82,,
Expected Calc. Error: 0.00,4.45,3.71,3.71,,3.59,3.52,3.67,3.86,,,,,2.03,,3.5,,
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,,79.94,75.8,61.26,,,,,,23.46,175.43,,,
Expected Calc. Error: 0.67,4.64,3.84,3.8,,3.8,3.67,3.79,3.92,,,,,2.13,,,,
"→3,6) β-d-Maniii (1→",101.27,71.14,81.91,,66.77,76.04,67.06,,,,,,,,,,
Expected Calc. Error: 8.08,4.76,4.24,3.78,,3.79,3.63,3.77,4.03,,,,,,,,,
→2) α-d-Maniv (1→,97.88,77.75,70.55,,68.3,73.8,62.37,,,,,,,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,,3.55,3.65,3.71,3.9,,,,,,,,,
→3) β-d-GlcNAcv (1→,100.49,55.34,83.12,,69.69,76.34,61.66,,,,,,23.28,175.5,,,
Expected Calc. Error: 5.00,4.65,3.83,3.84,,3.55,3.49,3.78,3.93,,,,,2.04,,,,
→3) β-d-Galvi (1→,104.16,69.99,76.45,,68,76.24,61.8,,,,,,,,,,
Expected Calc. Error: 0.00,4.49,3.57,4.08,,3.95,3.62,3.81,3.84,,,,,,,,,
aNeu5Acvii (2→,174.4,100.82,40.68,,69.08,52.71,73.82,,69.25,72.6,63.69,,,,,175.9,22.88
Expected Calc. Error: 0.00,,,1.79,2.78,3.73,3.84,3.69,,3.6,3.88,3.67,3.87,,,,,2.05
→2) α-d-Manviii (1→,100.21,77.76,70.3,,68.23,74.21,62.42,,,,,,,,,,
Expected Calc. Error: 2.42,5.13,4.15,3.89,,3.56,3.69,3.7,3.88,,,,,,,,,
→3) β-d-GlcNAcix (1→,100.38,55.22,83.04,,69.66,76.34,61.65,,,,,,23.27,175.52,,,
Expected Calc. Error: 1.36,4.61,3.83,3.83,,3.55,3.48,3.78,3.93,,,,,2.04,,,,
→3) β-d-Galx (1→,104.16,69.99,76.45,,68,76.24,61.8,,,,,,,,,,
Expected Calc. Error: 0.00,4.49,3.57,4.08,,3.95,3.62,3.81,3.84,,,,,,,,,
aNeu5Acxi (2→,174.4,100.82,40.68,,69.08,52.71,73.82,,69.25,72.6,63.69,,,,,175.9,22.88
Expected Calc. Error: 0.00,,,1.79,2.78,3.73,3.84,3.69,,3.6,3.88,3.67,3.87,,,,,2.05
,,,,,,,,,,,,,,,,,
