Residual,Connection,Atom,Shift,Residual Num
b-D-Galp," 4,until",H1,4.74,1
b-D-Galp," 4,until",H2,3.67,1
b-D-Galp," 4,until",H3,3.77,1
b-D-Galp," 4,until",H4,4.05,1
b-D-Galp," 4,until",H5,3.78,1
a-D-Galp," 4,4,until",H1,5.01,2
a-D-Galp," 4,4,until",H2,4.16,2
a-D-Galp," 4,4,until",H3,4.13,2
a-D-Galp," 4,4,until",H4,4.44,2
a-D-Galp," 4,4,until",H5,4.41,2
a-D-Galp," 4,4,until",H61,3.78,2
a-D-Galp," 4,4,until",H62,3.64,2
b-D-Galp," 4,4,4,until",H1,4.85,5
b-D-Galp," 4,4,4,until",H2,3.75,5
b-D-Galp," 4,4,4,until",H3,3.88,5
b-D-Galp," 4,4,4,until",H4,4.15,5
b-D-Galp," 4,4,4,until",H5,3.68,5
b-D-GlcpA," 3,4,4,until",H1,4.74,3
b-D-GlcpA," 3,4,4,until",H2,3.52,3
b-D-GlcpA," 3,4,4,until",H3,3.83,3
b-D-GlcpA," 3,4,4,until",H4,3.91,3
b-D-GlcpA," 3,4,4,until",H5,4.11,3
a-D-Glcp," 4,3,4,4,until",H1,5.43,4
a-D-Glcp," 4,3,4,4,until",H2,3.55,4
a-D-Glcp," 4,3,4,4,until",H3,3.67,4
a-D-Glcp," 4,3,4,4,until",H4,3.46,4
a-D-Glcp," 4,3,4,4,until",H5,3.6,4
a-D-Glcp," 4,3,4,4,until",H61,3.8,4
a-D-Glcp," 4,3,4,4,until",H62,3.8,4
b-D-Galp," 4,until",C1,105.2,1
b-D-Galp," 4,until",C2,71.95,1
b-D-Galp," 4,until",C3,72.97,1
b-D-Galp," 4,until",C4,78.0,1
b-D-Galp," 4,until",C5,75.89,1
a-D-Galp," 4,4,until",C1,100.99,2
a-D-Galp," 4,4,until",C2,68.57,2
a-D-Galp," 4,4,until",C3,80.85,2
a-D-Galp," 4,4,until",C4,77.17,2
a-D-Galp," 4,4,until",C5,70.8,2
a-D-Galp," 4,4,until",C6,60.79,2
b-D-Galp," 4,4,4,until",C1,103.74,5
b-D-Galp," 4,4,4,until",C2,71.4,5
b-D-Galp," 4,4,4,until",C3,82.84,5
b-D-Galp," 4,4,4,until",C4,69.27,5
b-D-Galp," 4,4,4,until",C5,75.26,5
b-D-GlcpA," 3,4,4,until",C1,105.07,3
b-D-GlcpA," 3,4,4,until",C2,73.96,3
b-D-GlcpA," 3,4,4,until",C3,76.47,3
b-D-GlcpA," 3,4,4,until",C4,77.82,3
b-D-GlcpA," 3,4,4,until",C5,75.19,3
a-D-Glcp," 4,3,4,4,until",C1,99.86,4
a-D-Glcp," 4,3,4,4,until",C2,72.36,4
a-D-Glcp," 4,3,4,4,until",C3,73.54,4
a-D-Glcp," 4,3,4,4,until",C4,69.84,4
a-D-Glcp," 4,3,4,4,until",C5,73.04,4
a-D-Glcp," 4,3,4,4,until",C6,61.6,4
