Residual,Connection,Atom,Shift,Residual Num
a-L-Rhap," 3,until",H1,4.84,3
a-L-Rhap," 3,until",H2,4.16,3
a-L-Rhap," 3,until",H3,3.82,3
a-L-Rhap," 3,until",H4,3.27,3
a-L-Rhap," 3,until",H5,3.65,3
a-L-Rhap," 3,until",CH3,1.22,3
a-D-Glcp," 3,3,until",H1,5.05,5
a-D-Glcp," 3,3,until",H2,3.63,5
a-D-Glcp," 3,3,until",H3,3.74,5
a-D-Glcp," 3,3,until",H4,3.42,5
a-D-Glcp," 3,3,until",H5,3.95,5
a-D-Glcp," 3,3,until",H61,3.76,5
a-D-Glcp," 3,3,until",H62,3.69,5
b-D-GlcpNAc," 2,3,until",H1,4.71,4
b-D-GlcpNAc," 2,3,until",H2,3.84,4
b-D-GlcpNAc," 2,3,until",H3,3.51,4
b-D-GlcpNAc," 2,3,until",H4,3.45,4
b-D-GlcpNAc," 2,3,until",H5,3.37,4
b-D-GlcpNAc," 2,3,until",H61,3.88,4
b-D-GlcpNAc," 2,3,until",H62,3.68,4
a-L-FucpNAc," 3,2,3,until",H1,4.97,1
a-L-FucpNAc," 3,2,3,until",H2,4.29,1
a-L-FucpNAc," 3,2,3,until",H3,3.86,1
a-L-FucpNAc," 3,2,3,until",H4,3.81,1
a-L-FucpNAc," 3,2,3,until",H5,4.34,1
a-L-FucpNAc," 3,2,3,until",CH3,1.15,1
a-D-Glcp," 3,3,2,3,until",H1,4.97,2
a-D-Glcp," 3,3,2,3,until",H2,3.43,2
a-D-Glcp," 3,3,2,3,until",H3,3.66,2
a-D-Glcp," 3,3,2,3,until",H4,3.37,2
a-D-Glcp," 3,3,2,3,until",H5,3.83,2
a-D-Glcp," 3,3,2,3,until",H61,3.83,2
a-D-Glcp," 3,3,2,3,until",H62,3.65,2
a-L-Rhap," 3,until",C1,100.5,3
a-L-Rhap," 3,until",C2,75.1,3
a-L-Rhap," 3,until",C3,75.6,3
a-L-Rhap," 3,until",C4,71.8,3
a-L-Rhap," 3,until",C5,70.0,3
a-L-Rhap," 3,until",C6,17.5,3
a-D-Glcp," 3,3,until",C1,96.1,5
a-D-Glcp," 3,3,until",C2,72.4,5
a-D-Glcp," 3,3,until",C3,74.2,5
a-D-Glcp," 3,3,until",C4,70.6,5
a-D-Glcp," 3,3,until",C5,72.48,5
a-D-Glcp," 3,3,until",C6,61.6,5
b-D-GlcpNAc," 2,3,until",C1,102.78,4
b-D-GlcpNAc," 2,3,until",C2,56.3,4
b-D-GlcpNAc," 2,3,until",C3,80.0,4
b-D-GlcpNAc," 2,3,until",C4,69.7,4
b-D-GlcpNAc," 2,3,until",C5,76.8,4
b-D-GlcpNAc," 2,3,until",C6,61.8,4
a-L-FucpNAc," 3,2,3,until",C1,98.9,1
a-L-FucpNAc," 3,2,3,until",C2,48.98,1
a-L-FucpNAc," 3,2,3,until",C3,77.5,1
a-L-FucpNAc," 3,2,3,until",C4,72.1,1
a-L-FucpNAc," 3,2,3,until",C5,67.7,1
a-L-FucpNAc," 3,2,3,until",C6,16.2,1
a-D-Glcp," 3,3,2,3,until",C1,101.4,2
a-D-Glcp," 3,3,2,3,until",C2,72.4,2
a-D-Glcp," 3,3,2,3,until",C3,73.8,2
a-D-Glcp," 3,3,2,3,until",C4,70.5,2
a-D-Glcp," 3,3,2,3,until",C5,72.0,2
a-D-Glcp," 3,3,2,3,until",C6,67.4,2
