Residual,Connection,Atom,Shift,Residual Num
A-D-GLCPN, ,H1,5.659,1
A-D-GLCPN, ,H2,3.38,1
A-D-GLCPN, ,H3,3.873,1
A-D-GLCPN, ,H4,3.448,1
A-D-GLCPN, ,H5,4.123,1
A-D-GLCPN, ,H61,3.852,1
A-D-GLCPN, ,H62,4.248,1
B-D-GLCPN,6,H1,4.908,2
B-D-GLCPN,6,H2,3.072,2
B-D-GLCPN,6,H3,3.859,2
B-D-GLCPN,6,H4,3.859,2
B-D-GLCPN,6,H5,3.74,2
B-D-GLCPN,6,H61,4.495,2
B-D-GLCPN,6,H62,3.698,2
A-D-KDOP," 6, 6",H31,1.925,4
A-D-KDOP," 6, 6",H32,2.149,4
A-D-KDOP," 6, 6",H4,4.514,4
A-D-KDOP," 6, 6",H5,4.179,4
A-D-KDOP," 6, 6",H6,3.766,4
A-D-KDOP," 6, 6",H7,3.926,4
A-D-KDOP," 6, 6",H81,3.918,4
A-D-KDOP," 6, 6",H82,3.652,4
A-D-GLCPN, ,C1,91.1,1
A-D-GLCPN, ,C2,54.45,1
A-D-GLCPN, ,C3,69.76,1
A-D-GLCPN, ,C4,70.07,1
A-D-GLCPN, ,C5,72.69,1
A-D-GLCPN, ,C6,69.36,1
B-D-GLCPN,6,C1,99.14,2
B-D-GLCPN,6,C2,55.74,2
B-D-GLCPN,6,C3,72.08,2
B-D-GLCPN,6,C4,74.44,2
B-D-GLCPN,6,C5,74.2,2
B-D-GLCPN,6,C6,62.4,2
A-D-KDOP," 6, 6",C3,33.77,4
A-D-KDOP," 6, 6",C4,70.98,4
A-D-KDOP," 6, 6",C5,65.88,4
A-D-KDOP," 6, 6",C6,71.68,4
A-D-KDOP," 6, 6",C7,69.77,4
A-D-KDOP," 6, 6",C8,63.47,4
