Residual,Connection,Atom,Shift,Residual Num
A-L-RHAP, ,H1,5.05,1
A-L-RHAP, ,H2,4.15,1
A-L-RHAP, ,H3,3.91,1
A-L-RHAP, ,H4,3.59,1
A-L-RHAP, ,H5,3.87,1
A-L-RHAP, ,H6,1.32,1
A-L-RHAP,3,H1,5.25,2
A-L-RHAP,3,H2,4.15,2
A-L-RHAP,3,H3,3.99,2
A-L-RHAP,3,H4,3.51,2
A-L-RHAP,3,H5,3.72,2
A-L-RHAP,3,H6,1.34,2
B-D-GLCPNAC," 3, 2",H1,4.63,3
B-D-GLCPNAC," 3, 2",H2,3.71,3
B-D-GLCPNAC," 3, 2",H3,3.62,3
B-D-GLCPNAC," 3, 2",H4,3.49,3
B-D-GLCPNAC," 3, 2",H5,3.43,3
B-D-GLCPNAC," 3, 2",H61,3.77,3
B-D-GLCPNAC," 3, 2",H62,3.89,3
B-D-GLCPNAC," 3, 2",CH3CON,2.09,3
A-L-RHAP," 3, 3",H1,5.25,4
A-L-RHAP," 3, 3",H2,4.04,4
A-L-RHAP," 3, 3",H3,3.86,4
A-L-RHAP," 3, 3",H4,3.54,4
A-L-RHAP," 3, 3",H5,3.77,4
A-L-RHAP," 3, 3",H6,1.34,4
A-L-RHAP," 3, 3, 2",H1,4.96,5
A-L-RHAP," 3, 3, 2",H2,4.16,5
A-L-RHAP," 3, 3, 2",H3,3.85,5
A-L-RHAP," 3, 3, 2",H4,3.58,5
A-L-RHAP," 3, 3, 2",H5,3.75,5
A-L-RHAP," 3, 3, 2",H6,1.27,5
A-L-RHAP, ,C1,103.4,1
A-L-RHAP, ,C2,71.2,1
A-L-RHAP, ,C3,79.1,1
A-L-RHAP, ,C4,72.6,1
A-L-RHAP, ,C5,70.5,1
A-L-RHAP, ,C6,17.9,1
A-L-RHAP,3,C1,102.5,2
A-L-RHAP,3,C2,79.1,2
A-L-RHAP,3,C3,77.3,2
A-L-RHAP,3,C4,73.5,2
A-L-RHAP,3,C5,70.6,2
A-L-RHAP,3,C6,17.9,2
B-D-GLCPNAC," 3, 2",C1,103.9,3
B-D-GLCPNAC," 3, 2",C2,57.1,3
B-D-GLCPNAC," 3, 2",C3,74.4,3
B-D-GLCPNAC," 3, 2",C4,71.3,3
B-D-GLCPNAC," 3, 2",C5,76.8,3
B-D-GLCPNAC," 3, 2",C6,61.9,3
B-D-GLCPNAC," 3, 2",CH3CON,23.6,3
B-D-GLCPNAC," 3, 2",CH3CON,175.4,3
A-L-RHAP," 3, 3",C1,101.8,4
A-L-RHAP," 3, 3",C2,79.1,4
A-L-RHAP," 3, 3",C3,71.4,4
A-L-RHAP," 3, 3",C4,73.5,4
A-L-RHAP," 3, 3",C5,70.6,4
A-L-RHAP," 3, 3",C6,17.9,4
A-L-RHAP," 3, 3, 2",C1,103.1,5
A-L-RHAP," 3, 3, 2",C2,71.1,5
A-L-RHAP," 3, 3, 2",C3,79.1,5
A-L-RHAP," 3, 3, 2",C4,72.7,5
A-L-RHAP," 3, 3, 2",C5,70.6,5
A-L-RHAP," 3, 3, 2",C6,17.9,5
