HETATM,Atom_num,Atom_name,Residual_name,Residual_num,x,y,z
HETATM,1,C1,GLC,1,-3.375,0.657,3.471
HETATM,2,C2,GLC,1,-2.020,0.305,2.819
HETATM,3,C3,GLC,1,-2.237,-0.725,1.690
HETATM,4,C4,GLC,1,-2.998,-1.973,2.194
HETATM,5,C5,GLC,1,-4.311,-1.566,2.928
HETATM,6,C6,GLC,1,-5.006,-2.747,3.628
HETATM,7,O2,GLC,1,-1.412,1.481,2.293
HETATM,8,OH3,GLC,1,-0.969,-1.112,1.178
HETATM,9,OH4,GLC,1,-3.281,-2.795,1.067
HETATM,10,O5,GLC,1,-4.033,-0.546,3.943
HETATM,11,OH6,GLC,1,-4.229,-3.201,4.733
HETATM,12,HO3,GLC,1,-0.455,-0.297,1.174
HETATM,13,HO4,GLC,1,-2.457,-2.813,0.569
HETATM,14,HO6,GLC,1,-3.801,-2.410,5.080
HETATM,15,H1,GLC,1,-4.030,1.194,2.754
HETATM,16,H2,GLC,1,-1.360,-0.137,3.592
HETATM,17,H3,GLC,1,-2.821,-0.247,0.876
HETATM,18,H4,GLC,1,-2.348,-2.529,2.898
HETATM,19,H5,GLC,1,-5.015,-1.151,2.179
HETATM,20,H6S,GLC,1,-6.006,-2.434,3.985
HETATM,21,H6R,GLC,1,-5.182,-3.578,2.918
HETATM,22,C1,CH3,3,-4.381,2.098,4.997
HETATM,23,H1,CH3,3,-4.216,2.708,5.861
HETATM,24,H2,CH3,3,-5.111,1.350,5.222
HETATM,25,H3,CH3,3,-4.734,2.707,4.190
HETATM,26,O1,GLC,1,-3.156,1.467,4.617
HETATM,27,C1,RAM,2,-0.111,1.798,2.762
HETATM,28,C2,RAM,2,0.594,2.786,1.797
HETATM,29,C3,RAM,2,0.045,4.226,1.938
HETATM,30,C4,RAM,2,-0.027,4.693,3.410
HETATM,31,C5,RAM,2,-0.829,3.666,4.255
HETATM,32,C6,RAM,2,-0.824,3.991,5.754
HETATM,33,OH2,RAM,2,1.993,2.806,2.062
HETATM,34,OH3,RAM,2,0.869,5.135,1.217
HETATM,35,OH4,RAM,2,-0.636,5.983,3.455
HETATM,36,O5,RAM,2,-0.249,2.337,4.109
HETATM,37,H1,RAM,2,0.484,0.866,2.812
HETATM,38,H2,RAM,2,0.443,2.440,0.756
HETATM,39,H3,RAM,2,-0.977,4.250,1.508
HETATM,40,H4,RAM,2,1.005,4.754,3.812
HETATM,41,H5,RAM,2,-1.879,3.645,3.897
HETATM,42,1H6,RAM,2,-1.371,3.217,6.323
HETATM,43,2H6,RAM,2,-1.304,4.960,5.978
HETATM,44,3H6,RAM,2,0.205,4.016,6.157
HETATM,45,HO2,RAM,2,2.268,3.677,1.757
HETATM,46,HO3,RAM,2,0.554,6.005,1.485
HETATM,47,HO4,RAM,2,-0.759,6.183,4.387
