HETATM,Atom_num,Atom_name,Residual_name,Residual_num,x,y,z
HETATM,1,C1,GLC,1,-3.257,3.041,2.580
HETATM,2,C2,GLC,1,-2.505,1.815,3.143
HETATM,3,C3,GLC,1,-3.472,0.616,3.253
HETATM,4,C4,GLC,1,-4.732,0.972,4.075
HETATM,5,C5,GLC,1,-5.405,2.269,3.530
HETATM,6,C6,GLC,1,-6.541,2.786,4.429
HETATM,7,O2,GLC,1,-1.412,1.481,2.293
HETATM,8,OH3,GLC,1,-2.787,-0.464,3.870
HETATM,9,OH4,GLC,1,-5.626,-0.133,4.001
HETATM,10,O5,GLC,1,-4.415,3.341,3.401
HETATM,11,OH6,GLC,1,-6.021,3.271,5.665
HETATM,12,HO3,GLC,1,-1.898,-0.426,3.501
HETATM,13,HO4,GLC,1,-5.069,-0.904,4.148
HETATM,14,HO6,GLC,1,-5.157,3.638,5.445
HETATM,15,H1,GLC,1,-3.569,2.863,1.530
HETATM,16,H2,GLC,1,-2.123,2.067,4.152
HETATM,17,H3,GLC,1,-3.779,0.309,2.232
HETATM,18,H4,GLC,1,-4.437,1.134,5.130
HETATM,19,H5,GLC,1,-5.833,2.046,2.532
HETATM,20,H6S,GLC,1,-7.084,3.600,3.914
HETATM,21,H6R,GLC,1,-7.289,1.991,4.616
HETATM,22,C1,CH3,3,-2.945,5.210,1.798
HETATM,23,H1,CH3,3,-2.311,6.073,1.846
HETATM,24,H2,CH3,3,-3.928,5.471,2.128
HETATM,25,H3,CH3,3,-2.990,4.855,0.789
HETATM,26,O1,GLC,1,-2.418,4.185,2.642
HETATM,27,C1,FUC,2,-0.109,1.799,2.763
HETATM,28,C2,FUC,2,0.958,1.735,1.651
HETATM,29,C3,FUC,2,2.357,1.962,2.238
HETATM,30,C4,FUC,2,2.597,1.028,3.433
HETATM,31,C5,FUC,2,1.448,1.195,4.438
HETATM,32,C6,FUC,2,1.573,0.300,5.676
HETATM,33,OH4,FUC,2,2.649,-0.342,3.040
HETATM,34,OH2,FUC,2,0.608,2.707,0.668
HETATM,35,O5,FUC,2,0.199,0.884,3.814
HETATM,36,OH3,FUC,2,3.329,1.830,1.206
HETATM,37,H5,FUC,2,1.435,2.247,4.784
HETATM,38,H1,FUC,2,-0.123,2.833,3.162
HETATM,39,H2,FUC,2,0.918,0.729,1.193
HETATM,40,HO2,FUC,2,1.209,2.569,-0.076
HETATM,41,H3,FUC,2,2.383,3.005,2.608
HETATM,42,HO3,FUC,2,4.154,2.187,1.560
HETATM,43,H4,FUC,2,3.552,1.289,3.927
HETATM,44,HO4,FUC,2,3.434,-0.437,2.483
HETATM,45,1H6,FUC,2,2.523,0.463,6.207
HETATM,46,2H6,FUC,2,0.750,0.510,6.378
HETATM,47,3H6,FUC,2,1.512,-0.763,5.396
