LFucpa1-2DGalp(6S)b1-3DGlcpNAcb1-OME / α-l-Fuciii (1→2) β-d-Gal6SO3ii (1→3) β-d-GlcNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→3) β-d-GlcNAcOMei,103.5,55.6,78.2,69.7,76.4,61.8,,23.1,174.6,58.1
Expected Calc. Error: 0.00,4.36,3.8,4,3.49,3.5,3.77,3.95,2.06,,3.5
→2) β-d-Gal6SO3ii (1→,100.79,77.12,73.66,69.79,73.72,68.33,,,,
Expected Calc. Error: 0.55,4.62,3.58,3.83,3.92,3.92,4.16,4.2,,,
α-l-Fuciii (1→,100.4,69,70.3,72.7,67.3,16,,,,
Expected Calc. Error: 0.00,5.2,3.78,3.71,3.77,4.31,1.23,,,,
,,,,,,,,,,
