Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z
ATOM,2,O2,BGAL,1,4.776,-1.748,-7.109
ATOM,3,C1,BGAL,1,5.227,0.338,-8.248
ATOM,4,O1,BGAL,1,6.532,0.436,-7.779
ATOM,5,CM,BGAL,1,7.112,-0.854,-7.570
ATOM,6,HM1,BGAL,1,8.019,-0.751,-7.011
ATOM,7,HM2,BGAL,1,7.324,-1.305,-8.516
ATOM,8,HM3,BGAL,1,6.425,-1.471,-7.028
ATOM,9,H1,BGAL,1,5.227,-0.208,-9.207
ATOM,10,C5,BGAL,1,3.337,1.774,-8.944
ATOM,11,H5,BGAL,1,3.271,1.274,-9.929
ATOM,12,O5,BGAL,1,4.702,1.679,-8.463
ATOM,13,H2,BGAL,1,4.452,0.078,-6.233
ATOM,14,C3,BGAL,1,2.854,-0.372,-7.633
ATOM,15,H3,BGAL,1,2.727,-0.987,-8.546
ATOM,16,O3,BGAL,1,2.063,-0.925,-6.611
ATOM,17,HO3,BGAL,1,1.139,-0.907,-6.925
ATOM,18,C4,BGAL,1,2.367,1.065,-7.950
ATOM,19,H4,BGAL,1,1.340,1.021,-8.364
ATOM,20,O4,BGAL,1,2.336,1.802,-6.750
ATOM,21,HO4,BGAL,1,1.737,1.334,-6.141
ATOM,22,C6,BGAL,1,3.018,3.281,-9.160
ATOM,23,H61,BGAL,1,3.805,3.735,-9.772
ATOM,24,H62,BGAL,1,3.014,3.809,-8.202
ATOM,25,O6,BGAL,1,1.778,3.456,-9.811
ATOM,26,HO6,BGAL,1,1.654,4.401,-9.918
ATOM,27,C1,AGAL,2,5.206,-2.047,-5.787
ATOM,28,H1,AGAL,2,5.897,-1.238,-5.545
ATOM,29,C5,AGAL,2,3.090,-3.031,-5.272
ATOM,30,H5,AGAL,2,2.808,-2.973,-6.287
ATOM,31,O5,AGAL,2,4.058,-2.026,-4.929
ATOM,32,C2,AGAL,2,5.913,-3.388,-5.620
ATOM,33,H2,AGAL,2,6.309,-3.421,-4.605
ATOM,34,O2,AGAL,2,6.983,-3.454,-6.554
ATOM,35,HO2,AGAL,2,7.966,-3.229,-6.139
ATOM,36,C3,AGAL,2,4.971,-4.560,-5.835
ATOM,37,H3,AGAL,2,4.699,-4.604,-6.890
ATOM,38,O3,AGAL,2,5.641,-5.765,-5.446
ATOM,39,HO3,AGAL,2,5.806,-6.272,-6.397
ATOM,40,C4,AGAL,2,3.722,-4.396,-4.998
ATOM,41,H4,AGAL,2,2.953,-5.134,-5.226
ATOM,42,O4,AGAL,2,4.143,-4.549,-3.649
ATOM,43,HO4,AGAL,2,4.591,-5.534,-3.517
ATOM,44,C6,AGAL,2,1.839,-2.735,-4.474
ATOM,45,H61,AGAL,2,1.161,-2.011,-4.573
ATOM,46,H62,AGAL,2,1.117,-3.466,-4.697
ATOM,47,O6,AGAL,2,2.080,-2.779,-3.076
ATOM,48,HO6,AGAL,2,1.893,-2.005,-2.333
